Function,Algorithm,Mean,StdDev,Min,Max
Pressure_Vessel,FSRO_Original,8241.765424101814,4434.396697138281,5164.9320378956345,16616.923329827005
Pressure_Vessel,FSRO_Modified,5087.657038771298,91.7356820306658,4974.376476504137,5225.92557199921
Pressure_Vessel,DE,6980.280966618976,2316.736907523522,4379.99852511278,10156.538910593204
Pressure_Vessel,GWO,4657.652356863818,583.041389427768,4335.791649039209,5821.913485556786
Pressure_Vessel,HHO,9891678713281088.0,6559511971900065.0,292427.37770030956,1.638423738142831e+16
Pressure_Vessel,MFO,10644.343197068909,9704.792258757216,5530.510792023044,30051.940062352456
Pressure_Vessel,PSO,5073.748197036381,377.6667313606946,4606.079421799289,5530.510792023044
Pressure_Vessel,SMA,87523.15913056865,20632.828595199506,50255.844755131984,108447.74775357339
Pressure_Vessel,WOA,1.223592979664301e+16,6235398325691300.0,121806.74823349429,1.6240747649520204e+16
Spring_Design,FSRO_Original,0.09847747986740539,0.02415476509251028,0.08224130173246876,0.14511055201148598
Spring_Design,FSRO_Modified,0.08139643748923306,0.0003691174637148126,0.08099861166969209,0.08198100846954838
Spring_Design,DE,0.1537120772865763,0.06477196459819617,0.08144272470327933,0.24409474426940492
Spring_Design,GWO,0.0836503914593352,0.0020345414695740497,0.08128231470806294,0.08650539621214767
Spring_Design,HHO,865.8467618572,0.4560267198072588,865.5593434966196,866.7545901463935
Spring_Design,MFO,45.78440940785649,91.18861446032976,0.08074474022487271,228.16132534357192
Spring_Design,PSO,2.98213974052979,5.772727816386633,0.08775650321297863,14.527579177613697
Spring_Design,SMA,568.4042830881843,465.1721089808543,1.4640013500346605,997.6679074927683
Spring_Design,WOA,891.5272855001834,51.595039753751564,865.5619713467867,994.7167566807543
Welded_Beam,FSRO_Original,1.6745484236777437,0.0597421816030122,1.5749826925315222,1.7388408071719734
Welded_Beam,FSRO_Modified,1.5774291082405658,0.0888899026358543,1.5082726537911362,1.7509267173422374
Welded_Beam,DE,1.932026885638821,0.5226062711501556,1.3263805626797536,2.7137567322968716
Welded_Beam,GWO,1.3279030027685133,0.010757732599940593,1.318634933431066,1.3483029089494571
Welded_Beam,HHO,4.46771451066978e+19,8.725683719858305e+19,2.5373281686511444e+16,2.191823940813494e+20
Welded_Beam,MFO,1.442903971227446,0.1974009672574002,1.3234113866951438,1.8334023823116048
Welded_Beam,PSO,2.367666754898633,0.46598688389332243,1.7047275619485125,2.8192375990637943
Welded_Beam,SMA,7.326328712702008,1.8192500900117896,5.330376470961185,10.603866287212439
Welded_Beam,WOA,1.6827704555780887e+19,1.4331714991963822e+19,5341200862226610.0,3.4667635361720775e+19
Speed_Reducer,FSRO_Original,1108817821.2306519,231.6217933645319,1108817393.043135,1108818053.9938169
Speed_Reducer,FSRO_Modified,1108817393.043135,0.0,1108817393.043135,1108817393.043135
Speed_Reducer,DE,1111350637.3888412,3349553.3821491245,1108822792.4817724,1117182731.827155
Speed_Reducer,GWO,1108907706.0900784,102759.2263575379,1108818287.336269,1109087328.1996737
Speed_Reducer,HHO,1352537043.4714363,44674486.600896776,1284829821.5586016,1409947538.6691797
Speed_Reducer,MFO,1108817455.2409534,124.39563703536987,1108817393.043135,1108817704.0322275
Speed_Reducer,PSO,1108817836.8481083,383.1505383243878,1108817393.043135,1108818511.2764785
Speed_Reducer,SMA,1203518151.4496474,28107381.40747537,1154845567.8667657,1231691850.436307
Speed_Reducer,WOA,1336202219.1101003,77158895.18527612,1203392241.2858047,1403368616.993488
Gear_Train,FSRO_Original,0.042097172365988964,0.06016069129466345,1.790548342228705e-05,0.15772659326574354
Gear_Train,FSRO_Modified,6.776317185734721e-12,8.150920073696416e-12,2.7008571488865134e-12,2.307815733312755e-11
Gear_Train,DE,2.0436970769610086e-05,4.085360310005777e-05,8.887614372714457e-10,0.00010214417490976988
Gear_Train,GWO,5.20154051542071e-07,5.944618193912586e-07,1.8273802352995788e-08,1.2899968125071745e-06
Gear_Train,HHO,0.7322578740113634,0.0,0.7322578740113634,0.7322578740113634
Gear_Train,MFO,1.0696662566135332e-06,1.6136900923080025e-06,8.887614372714457e-10,4.231670903429297e-06
Gear_Train,PSO,1.225573491146147e-07,1.9923781202862676e-07,4.503304176718563e-09,5.19372783157318e-07
Gear_Train,SMA,0.03183725629832283,0.022501208998741234,0.008100264178716095,0.06300842624172709
Gear_Train,WOA,0.7322578740113634,0.0,0.7322578740113634,0.7322578740113634
