Engineering_Problem,Algorithm,Mean,StdDev,Min,Max
Pressure Vessel,FSRO_Original,52965.84925,70571.07512,5164.932038,410651.4408
Pressure Vessel,FSRO_Modified,4896.619732,221.6117541,4455.052105,5277.922428
Pressure Vessel,FSRO_Variant1,13763.86081,13918.94164,4674.578666,65205.81457
Pressure Vessel,FSRO_Variant2,5605.613067,2623.657758,4468.440742,19175.00195
Pressure Vessel,FSRO_Variant3,13915.70149,11159.53681,4355.976707,53142.96132
Pressure Vessel,FSRO_Variant4,72818.91956,40900.79922,14808.96454,184250.5729
Pressure Vessel,FSRO_Variant5,53333.68836,26795.21343,14245.69654,134250.6201
Pressure Vessel,DE,7615.086506,6852.839854,4314.460499,40688.63196
Pressure Vessel,GWO,4836.483038,550.0582373,4335.791649,5879.88618
Pressure Vessel,HHO,1.16E+16,6.29114E+15,17384.45221,1.66E+16
Pressure Vessel,MFO,6033.802182,3913.124174,4314.368702,30051.94006
Pressure Vessel,PSO,5069.773527,535.4636431,4314.368702,6636.117367
Pressure Vessel,SMA,73893.73261,40855.5345,14757.16142,184224.6293
Pressure Vessel,WOA,1.16E+16,6.26633E+15,19228.40356,1.65E+16
Spring Design,FSRO_Original,0.115848557,0.03766577,0.081216411,0.224166383
Spring Design,FSRO_Modified,0.081679112,0.000387456,0.080902116,0.082248923
Spring Design,FSRO_Variant1,0.082279592,0.000796598,0.081225848,0.084709975
Spring Design,FSRO_Variant2,0.089193943,0.013482595,0.080835198,0.126821326
Spring Design,FSRO_Variant3,3.569751173,8.437472914,0.08095653,34.96754707
Spring Design,FSRO_Variant4,616.8219961,401.4695016,0.389214779,1004.883025
Spring Design,FSRO_Variant5,471.4083058,380.4989504,0.389214779,1000.150912
Spring Design,DE,1.175421342,6.355624455,0.08074474,45.57696501
Spring Design,GWO,0.089865756,0.012027192,0.080789828,0.131616871
Spring Design,HHO,938.7325377,240.0501704,865.5591549,2510.755806
Spring Design,MFO,9.256306592,44.6839933,0.08074474,228.1613253
Spring Design,PSO,9.542277597,44.67096002,0.08074474,228.1613253
Spring Design,SMA,615.6034199,402.2298208,0.38647035,1004.858743
Spring Design,WOA,921.3770766,110.7567537,865.5590929,1543.946786
Welded Beam,FSRO_Original,1.66356095,0.136707659,1.421555967,1.998104856
Welded Beam,FSRO_Modified,1.550400544,0.101835777,1.334026899,1.802797205
Welded Beam,FSRO_Variant1,1.579721054,0.109763619,1.346713384,1.944709208
Welded Beam,FSRO_Variant2,1.492946559,0.10697628,1.354757208,1.883226856
Welded Beam,FSRO_Variant3,2.50218,1.010706925,1.321940816,5.230471056
Welded Beam,FSRO_Variant4,5.812649503,2.116036283,2.525647809,15.85910735
Welded Beam,FSRO_Variant5,5.242811604,1.644400445,1.811574011,8.946772348
Welded Beam,DE,1.797875198,0.522321732,1.318529176,3.371540982
Welded Beam,GWO,1186.782433,8298.164916,1.318634933,59273.93684
Welded Beam,HHO,3.32E+20,5.73E+20,4.69773E+11,2.52E+21
Welded Beam,MFO,1.863432456,1.243399006,1.317987438,6.865349761
Welded Beam,PSO,2.205157649,0.800264348,1.318659555,4.225447568
Welded Beam,SMA,6.875487589,3.815989552,2.525158473,28.81871549
Welded Beam,WOA,3.37E+20,5.85E+20,8.249413286,2.49E+21
Speed Reducer,FSRO_Original,1108817973,1142.856801,1108817393,1108824853
Speed Reducer,FSRO_Modified,1108817393,0,1108817393,1108817393
Speed Reducer,FSRO_Variant1,1108817403,26.72121127,1108817393,1108817519
Speed Reducer,FSRO_Variant2,1108817615,141.2093237,1108817396,1108817998
Speed Reducer,FSRO_Variant3,1109841779,7149120.112,1108817393,1159885614
Speed Reducer,FSRO_Variant4,1108827567,2022.985975,1108820370,1108828763
Speed Reducer,FSRO_Variant5,1186164080,22097972.46,1146305295,1239131909
Speed Reducer,DE,1120907482,19391615.09,1108817393,1176098859
Speed Reducer,GWO,1108917375,138997.3168,1108818287,1109681140
Speed Reducer,HHO,1316510793,71823310.44,1114355291,1410487376
Speed Reducer,MFO,1108818083,1758.366061,1108817393,1108823090
Speed Reducer,PSO,1108818593,2024.511613,1108817393,1108823371
Speed Reducer,SMA,1212254793,29518730.54,1154845568,1263716876
Speed Reducer,WOA,1289532291,80499465.63,1111935191,1408753023
Gear Train,FSRO_Original,0.044086363,0.067663464,9.75E-10,0.343377053
Gear Train,FSRO_Modified,8.00E-12,8.94E-12,2.70E-12,2.31E-11
Gear Train,FSRO_Variant1,0.000193525,0.000751487,2.70E-12,0.004025921
Gear Train,FSRO_Variant2,1.25E-09,2.03E-09,2.70E-12,1.31E-08
Gear Train,FSRO_Variant3,4.30E-05,0.00021205,1.55E-10,0.001275967
Gear Train,FSRO_Variant4,0.0432366,0.058395468,4.47E-08,0.265288178
Gear Train,FSRO_Variant5,0.010803144,0.014403578,4.47E-08,0.053940661
Gear Train,DE,9.32E-06,5.25E-05,9.94E-11,0.000363055
Gear Train,GWO,9.37E-07,2.45E-06,1.55E-10,1.62E-05
Gear Train,HHO,0.732257874,1.11E-16,0.732257874,0.732257874
Gear Train,MFO,7.39E-07,1.87E-06,8.89E-10,9.63E-06
Gear Train,PSO,1.09E-07,2.30E-07,1.55E-10,9.98E-07
Gear Train,SMA,0.045634059,0.061677567,4.47E-08,0.296715401
Gear Train,WOA,0.732257874,1.11E-16,0.732257874,0.732257874
