Function,Algorithm,Mean,StdDev,Min,Max
F1_CEC2014,FSRO_Original,976278442.9823308,1164837891.0878942,26567062.054482687,6414382934.250775
F1_CEC2014,FSRO_Modified,118415.93784625134,79040.37918716896,21757.50250179605,382499.3180122619
F1_CEC2014,FSRO_Variant1,362704403.24183136,306865841.4272996,14925595.77593572,1476963183.8074508
F1_CEC2014,FSRO_Variant2,757118.1685558021,503927.1015944969,66849.0202241313,2451401.68620578
F1_CEC2014,FSRO_Variant3,79196743.28283703,56774289.7084066,2601606.4668901777,285125146.98564494
F1_CEC2014,FSRO_Variant4,773403994.7030673,717978629.7709575,51903428.81984715,2991904685.8758807
F1_CEC2014,FSRO_Variant5,883288231.1212105,692690487.8933525,86325095.0783959,3075766848.8711576
F1_CEC2014,DE,64730078.89161886,119869058.3163662,236752.44503946515,718790006.963521
F1_CEC2014,GWO,210993458.44470268,95358949.41272806,16609274.458134351,685135620.8638448
F1_CEC2014,HHO,4604017218.155913,9.5367431640625e-07,4604017218.155912,4604017218.155912
F1_CEC2014,MFO,61343695.87154133,54345302.45738518,105938.59262223724,206724670.0633045
F1_CEC2014,PSO,32430181.32939348,40466128.96622252,303460.46821217984,219657988.8826924
F1_CEC2014,SMA,1499018948.219406,1244678341.1656554,85924963.71297237,5784383928.331677
F1_CEC2014,WOA,4604017218.155913,9.5367431640625e-07,4604017218.155912,4604017218.155912
F2_CEC2014,FSRO_Original,23416892465.31468,10283460532.911034,7767952027.990437,50069243921.15899
F2_CEC2014,FSRO_Modified,93182.59751761689,30947.63774910436,30971.32579051148,175578.15625153604
F2_CEC2014,FSRO_Variant1,15055156174.193447,5394491837.789858,5300661542.855124,27179011776.16205
F2_CEC2014,FSRO_Variant2,108565.6849742978,28974.240989450653,43050.03128828066,158646.88168531124
F2_CEC2014,FSRO_Variant3,4698688396.611413,3393969609.64073,150364403.116483,13970114902.824642
F2_CEC2014,FSRO_Variant4,21827122547.101448,7655618045.549992,9627303639.848148,43540251294.65546
F2_CEC2014,FSRO_Variant5,20420266235.500244,6582668259.697766,10205384375.061428,38123444597.83735
F2_CEC2014,DE,1922123700.2963228,1658883592.412571,60769553.282613255,8240938180.248289
F2_CEC2014,GWO,7244458306.673953,1421037643.0990448,5601467728.613296,10666646338.611876
F2_CEC2014,HHO,16424929791.945568,1.9073486328125e-06,16424929791.94557,16424929791.94557
F2_CEC2014,MFO,5447424155.210854,4678921682.560722,4091.715671242837,20687520467.193302
F2_CEC2014,PSO,1313515267.2434711,2122743427.7778573,16687.19596855866,9513947619.28631
F2_CEC2014,SMA,25101267026.024105,7977739608.448689,13021232186.879082,46281183504.01761
F2_CEC2014,WOA,16424929791.945568,1.9073486328125e-06,16424929791.94557,16424929791.94557
F3_CEC2014,FSRO_Original,35246149.38229332,65171669.94731832,33385.30781871424,288217709.24364936
F3_CEC2014,FSRO_Modified,526.4546997866604,136.68891992058846,362.7912682177836,936.43811896568
F3_CEC2014,FSRO_Variant1,2803794.6403958327,13430629.433949107,13229.662731183698,93905295.16827177
F3_CEC2014,FSRO_Variant2,27790.11427900466,11914.29390014187,8396.550120760818,56613.050074069804
F3_CEC2014,FSRO_Variant3,55858.98589978424,26461.68516489084,16779.750077596495,137313.58269507415
F3_CEC2014,FSRO_Variant4,45868.16578724429,26350.55748589261,9283.386346465144,200489.12453509792
F3_CEC2014,FSRO_Variant5,59226958.519024685,101564051.95470008,82055.05135985267,406582490.9359976
F3_CEC2014,DE,25201.31675764401,16074.199001253211,1939.455260481368,81357.94715513199
F3_CEC2014,GWO,18237.016967943266,167.62217356945106,18055.39169874748,18391.7872805108
F3_CEC2014,HHO,8798332.524563478,0.0,8798332.524563478,8798332.524563478
F3_CEC2014,MFO,79416.61277180437,39730.81959935586,12374.81463747969,185794.53634519584
F3_CEC2014,PSO,30494.2095358105,22206.136610545545,1840.3069937364728,112137.23092918308
F3_CEC2014,SMA,79272900.80603343,111544542.06508876,79147.09300698835,512873258.4589427
F3_CEC2014,WOA,8798332.524563478,0.0,8798332.524563478,8798332.524563478
F4_CEC2014,FSRO_Original,6551.46639508066,5034.986962886,911.9966711182828,26775.51954758761
F4_CEC2014,FSRO_Modified,427.5680912617377,13.81444751629926,400.0148893308579,435.6975857213169
F4_CEC2014,FSRO_Variant1,3730.882854032031,2380.1958344006307,904.7401351183872,10905.504083721176
F4_CEC2014,FSRO_Variant2,427.2864662630649,15.309897365112224,400.1177379460676,460.8968770501209
F4_CEC2014,FSRO_Variant3,1277.3836713742564,866.4354318473368,482.3716012224068,5113.372825390714
F4_CEC2014,FSRO_Variant4,6684.226847589923,3766.789356044717,2020.5127026457496,19451.034969175307
F4_CEC2014,FSRO_Variant5,5589.460726460671,2745.181935898337,2021.950959922976,12249.521808084986
F4_CEC2014,DE,777.5152737932688,492.37441504029033,430.0377333302089,3088.749711686154
F4_CEC2014,GWO,1241.2066957472452,408.4899011668975,1076.198743888419,2253.640209536523
F4_CEC2014,HHO,12017.897331937624,1.8189894035458565e-12,12017.897331937624,12017.897331937624
F4_CEC2014,MFO,785.0266195812098,513.3412843814494,425.0417842814312,2679.392019112695
F4_CEC2014,PSO,580.5704991300358,261.80034907867764,418.5231371834257,1520.2016124427075
F4_CEC2014,SMA,7728.216393356655,4942.002709732317,2020.1554924570853,25069.03379791021
F4_CEC2014,WOA,12017.897331937624,1.8189894035458565e-12,12017.897331937624,12017.897331937624
F5_CEC2014,FSRO_Original,520.4297116639514,0.0809819533609799,520.2332465759279,520.5513829340246
F5_CEC2014,FSRO_Modified,519.734050497326,2.808661203524879,505.1276553518552,520.4640488435253
F5_CEC2014,FSRO_Variant1,520.4031624764814,0.0699200564476776,520.2657589756244,520.5353485755045
F5_CEC2014,FSRO_Variant2,520.3757931127255,0.0730425510651098,520.2347463571733,520.5178108252233
F5_CEC2014,FSRO_Variant3,520.3229075622539,0.1675989112448881,520.0554807320387,520.6982268090915
F5_CEC2014,FSRO_Variant4,520.5650513343176,0.1291524817593539,520.2535201485825,520.7507582224439
F5_CEC2014,FSRO_Variant5,521.1908153274707,0.1705245362377273,520.7386140955641,521.579852296062
F5_CEC2014,DE,520.2009964174682,1.193946287698355,513.3271044813478,520.7265856574937
F5_CEC2014,GWO,521.2691815526691,0.2626369790581612,520.6544453804053,521.798436397212
F5_CEC2014,HHO,521.9270432187445,0.0,521.9270432187445,521.9270432187445
F5_CEC2014,MFO,520.3976346191621,0.2435059251362507,520.0031237635609,521.0079100153151
F5_CEC2014,PSO,520.035467638269,0.0485815934611358,519.9998402175618,520.2412632180316
F5_CEC2014,SMA,521.2805912722206,0.204695574599237,520.702060939125,521.6154744807851
F5_CEC2014,WOA,521.9270432187445,0.0,521.9270432187445,521.9270432187445
F6_CEC2014,FSRO_Original,613.7481874067543,1.6300260399205009,609.1896683065112,616.481759249884
F6_CEC2014,FSRO_Modified,604.5127981797932,1.5467688282133736,601.6067710557473,607.5532403383983
F6_CEC2014,FSRO_Variant1,611.8284858332819,1.227343002410907,607.7410211813637,613.9389556499184
F6_CEC2014,FSRO_Variant2,609.788666954735,2.2312624760678643,605.0940433075322,614.2144410989722
F6_CEC2014,FSRO_Variant3,609.6347837318926,1.925987935599781,604.8008854476692,613.5022934480636
F6_CEC2014,FSRO_Variant4,613.3622474579057,1.144740908588868,611.0977252060708,615.2592343071393
F6_CEC2014,FSRO_Variant5,614.8259739248224,1.2936849722189012,612.3115245844303,617.4851906220117
F6_CEC2014,DE,605.5514993754533,1.6606354528025002,602.2997973181489,611.2536585705977
F6_CEC2014,GWO,612.2113761485433,0.4662184534531568,611.6403858035032,613.3100132278096
F6_CEC2014,HHO,615.1350721641306,0.0,615.1350721641306,615.1350721641306
F6_CEC2014,MFO,608.7150118359083,1.918810823050318,604.1976734347285,613.5325659026355
F6_CEC2014,PSO,606.4185791458181,1.7201694351657473,601.8600463367646,609.9242726605233
F6_CEC2014,SMA,615.7025080947313,1.5792450325179137,612.2302682687596,619.5376799107894
F6_CEC2014,WOA,615.1350721641306,0.0,615.1350721641306,615.1350721641306
F7_CEC2014,FSRO_Original,1087.9517973083096,177.77382234018734,749.4687135024457,1529.5565238385077
F7_CEC2014,FSRO_Modified,700.966356968231,0.1451737943723719,700.5860023140938,701.2589356026137
F7_CEC2014,FSRO_Variant1,957.8528211166756,103.77313149649495,754.489502655275,1184.021328711695
F7_CEC2014,FSRO_Variant2,700.3995843941179,0.0697991859588388,700.204514124509,700.5155925352095
F7_CEC2014,FSRO_Variant3,835.6988730068997,77.0642749901862,721.4520227172032,1009.6648594160168
F7_CEC2014,FSRO_Variant4,939.4853503979588,65.46771076976998,835.1869991846339,1126.066974984926
F7_CEC2014,FSRO_Variant5,1011.257475495819,97.69464355955228,821.9020712211768,1160.4729593306315
F7_CEC2014,DE,758.780896145026,43.01683540622246,709.908363042242,895.4046823804499
F7_CEC2014,GWO,847.2984205419178,29.217957944776444,804.7744013731221,917.5594052204892
F7_CEC2014,HHO,1119.3723738034996,2.273736754432321e-13,1119.3723738034998,1119.3723738034998
F7_CEC2014,MFO,773.0509323425607,64.13632832728017,700.8411448088038,987.6134164095836
F7_CEC2014,PSO,726.5504730123407,30.06543707304488,700.8216570207842,856.0028748586176
F7_CEC2014,SMA,1099.2960884192755,119.93593248865764,853.2201494757469,1377.2402470296
F7_CEC2014,WOA,1119.3723738034996,2.273736754432321e-13,1119.3723738034998,1119.3723738034998
F8_CEC2014,FSRO_Original,932.6641325960056,32.20581263131304,874.8559728349851,997.3990083679604
F8_CEC2014,FSRO_Modified,829.2104620585824,9.956083421963864,813.0092701792595,862.7208464856334
F8_CEC2014,FSRO_Variant1,912.1920411516472,30.35345598366924,849.6631087153405,967.257078460626
F8_CEC2014,FSRO_Variant2,855.831744409073,18.756511251095645,821.9595962952808,898.5593189992719
F8_CEC2014,FSRO_Variant3,870.3952660399519,20.765581123426543,823.9078506553519,910.5570195260412
F8_CEC2014,FSRO_Variant4,934.7784144840724,23.68765213868946,885.5713105018874,992.0551598649184
F8_CEC2014,FSRO_Variant5,949.8636818580763,19.833959380431764,891.5193863743608,989.6644086020754
F8_CEC2014,DE,823.1071566000894,9.888239064287662,810.6326119782622,859.0230361991808
F8_CEC2014,GWO,951.4997172194068,9.624450563767416,930.7927684378932,971.6404280369228
F8_CEC2014,HHO,984.2455711518944,2.273736754432321e-13,984.2455711518946,984.2455711518946
F8_CEC2014,MFO,868.4465825803709,29.058497035841555,818.2297087098407,958.809564618023
F8_CEC2014,PSO,840.8812278716333,18.01748815611649,811.4187886251842,883.5244260151128
F8_CEC2014,SMA,963.3300073062944,24.443604819701367,892.6229675649209,1013.5016780875892
F8_CEC2014,WOA,984.2455711518944,2.273736754432321e-13,984.2455711518946,984.2455711518946
F9_CEC2014,FSRO_Original,1050.001418206391,37.66560832942916,961.6320821285314,1115.884760020003
F9_CEC2014,FSRO_Modified,928.8396525418028,11.599662369905474,910.9999184661424,960.7358397382552
F9_CEC2014,FSRO_Variant1,1016.3665303005116,25.64170266996236,958.2278560000764,1076.9306606197345
F9_CEC2014,FSRO_Variant2,954.5152990066524,18.721330677879138,918.0118349787748,1008.5242570229972
F9_CEC2014,FSRO_Variant3,970.9481005363764,21.612852282330422,932.1490799287078,1010.5056907987828
F9_CEC2014,FSRO_Variant4,1039.091262456691,23.29989846274053,990.4048615969324,1090.1929514840472
F9_CEC2014,FSRO_Variant5,1048.171720962875,23.789686920068167,998.5475185131202,1093.3509868215087
F9_CEC2014,DE,931.597792854888,11.163511448944233,915.8517159472608,967.7486570003956
F9_CEC2014,GWO,982.975185072154,9.50073398854994,970.678697276931,1015.1464893576313
F9_CEC2014,HHO,1021.6476551540422,1.1368683772161605e-13,1021.6476551540424,1021.6476551540424
F9_CEC2014,MFO,968.6368080368584,21.33637236113763,932.4192798099004,1018.9560719617576
F9_CEC2014,PSO,941.352359234258,19.478062906473216,908.9593941217366,986.336108025333
F9_CEC2014,SMA,1068.5252355631817,30.694110984898828,998.410518799868,1138.5224868505798
F9_CEC2014,WOA,1021.6476551540422,1.1368683772161605e-13,1021.6476551540424,1021.6476551540424
F10_CEC2014,FSRO_Original,1391.4621761892015,775.8437245750116,-471.2401836317568,2920.8322214309164
F10_CEC2014,FSRO_Modified,-198.57675809310567,447.61166602689445,-1194.0231661045646,658.598320106832
F10_CEC2014,FSRO_Variant1,524.1115196616092,499.8982454777727,-497.7912710332466,2082.932103025013
F10_CEC2014,FSRO_Variant2,408.0607065431385,679.4837178765896,-1376.6657616544398,2015.391421271379
F10_CEC2014,FSRO_Variant3,868.3472528816442,529.2107325501787,86.010669235553,2063.688814180772
F10_CEC2014,FSRO_Variant4,-162.46970145712805,234.9107958788988,-780.0724717883459,315.3506606561323
F10_CEC2014,FSRO_Variant5,2695.41707201675,603.027176596238,1241.5942530142056,3889.5003069411423
F10_CEC2014,DE,-993.397965268336,678.4144649599874,-2471.088040706656,321.835299254858
F10_CEC2014,GWO,955.531039758876,178.7564466552168,614.9865077220547,1227.6037227689276
