Function,Mean,StdDev,Rank
F1,38732.487442204816,3229.7956349910305,27.0
F2,38607.48735654212,2825.336487531482,24.0
F3,38591.85312804396,2813.2987756261223,23.0
F4,37980.15755172642,3012.108608684172,12.0
F5,37399.17773390864,3221.8674115950034,2.0
F6,38435.81166172592,2833.5589843808098,21.0
F7,37519.240665685684,3030.395215145556,4.0
F8,38198.82893616835,3319.14969373191,17.0
F9,39154.81378967079,3438.202789819162,30.0
F10,37884.502716996234,3619.117018439172,9.0
F11,37143.62562705742,4107.917760991873,1.0
F12,37519.76676846104,2636.820447537255,5.0
F13,38656.38779399372,2924.613817136537,26.0
F14,38642.47856583121,3025.400567289516,25.0
F15,38765.782632672584,3564.134802756685,29.0
F16,38173.60285077324,3002.0334750150378,16.0
F17,38516.05392416924,2639.0140360417645,22.0
F18,38358.26332841429,2485.1480733917674,20.0
F19,38001.271113747796,3381.972964843652,13.0
F20,38281.49679020281,4108.443210422285,19.0
F21,37407.71281200302,2969.5974966574367,3.0
F22,37764.85345921588,3898.1864168788165,7.0
F23,38015.4765417341,3411.09479867588,15.0
F24,37878.682679655256,3485.7272106024548,8.0
F25,38752.82077540168,2500.618629788506,28.0
F26,37903.8371387024,2889.2452923571886,10.0
F27,37547.06906672835,2995.758800666363,6.0
F28,37953.424479270194,2785.2094800047535,11.0
F29,38007.85446492014,2460.1575172400603,14.0
F30,38253.80317335964,2950.1686633646086,18.0
