Function,Algorithm,Mean,StdDev,Rank
F1_CEC2014,FSRO_Original,976278443.0,1164837891.0,11
F1_CEC2014,FSRO_Modified,118415.9378,79040.37919,1
F1_CEC2014,FSRO_Variant1,362704403.2,306865841.4,8
F1_CEC2014,FSRO_Variant2,757118.1686,503927.1016,2
F1_CEC2014,FSRO_Variant3,79196743.28,56774289.71,6
F1_CEC2014,FSRO_Variant4,773403994.7,717978629.8,9
F1_CEC2014,FSRO_Variant5,883288231.1,692690487.9,10
F1_CEC2014,DE,64730078.89,119869058.3,5
F1_CEC2014,GWO,210993458.4,95358949.41,7
F1_CEC2014,HHO,4604017218.0,9.54e-07,13
F1_CEC2014,MFO,61343695.87,54345302.46,4
F1_CEC2014,PSO,32430181.33,40466128.97,3
F1_CEC2014,SMA,1499018948.0,1244678341.0,12
F1_CEC2014,WOA,4604017218.0,9.54e-07,13
F2_CEC2014,FSRO_Original,23416892465.0,10283460533.0,13
F2_CEC2014,FSRO_Modified,93182.59752,30947.63775,1
F2_CEC2014,FSRO_Variant1,15055156174.0,5394491838.0,8
F2_CEC2014,FSRO_Variant2,108565.685,28974.24099,2
F2_CEC2014,FSRO_Variant3,4698688397.0,3393969610.0,5
F2_CEC2014,FSRO_Variant4,21827122547.0,7655618046.0,12
F2_CEC2014,FSRO_Variant5,20420266236.0,6582668260.0,11
F2_CEC2014,DE,1922123700.0,1658883592.0,4
F2_CEC2014,GWO,7244458307.0,1421037643.0,7
F2_CEC2014,HHO,16424929792.0,1.91e-06,9
F2_CEC2014,MFO,5447424155.0,4678921683.0,6
F2_CEC2014,PSO,1313515267.0,2122743428.0,3
F2_CEC2014,SMA,25101267026.0,7977739608.0,14
F2_CEC2014,WOA,16424929792.0,1.91e-06,9
F3_CEC2014,FSRO_Original,35246149.38,65171669.95,12
F3_CEC2014,FSRO_Modified,526.4546998,136.6889199,1
F3_CEC2014,FSRO_Variant1,2803794.64,13430629.43,9
F3_CEC2014,FSRO_Variant2,27790.11428,11914.2939,4
F3_CEC2014,FSRO_Variant3,55858.9859,26461.68516,7
F3_CEC2014,FSRO_Variant4,45868.16579,26350.55749,6
F3_CEC2014,FSRO_Variant5,59226958.52,101564052.0,13
F3_CEC2014,DE,25201.31676,16074.199,3
F3_CEC2014,GWO,18237.01697,167.6221736,2
F3_CEC2014,HHO,8798332.525,0.0,10
F3_CEC2014,MFO,79416.61277,39730.8196,8
F3_CEC2014,PSO,30494.20954,22206.13661,5
F3_CEC2014,SMA,79272900.81,111544542.1,14
F3_CEC2014,WOA,8798332.525,0.0,10
F4_CEC2014,FSRO_Original,6551.466395,5034.986963,10
F4_CEC2014,FSRO_Modified,427.5680913,13.81444752,2
F4_CEC2014,FSRO_Variant1,3730.882854,2380.195834,8
F4_CEC2014,FSRO_Variant2,427.2864663,15.30989737,1
F4_CEC2014,FSRO_Variant3,1277.383671,866.4354318,7
F4_CEC2014,FSRO_Variant4,6684.226848,3766.789356,11
F4_CEC2014,FSRO_Variant5,5589.460726,2745.181936,9
F4_CEC2014,DE,777.5152738,492.374415,4
F4_CEC2014,GWO,1241.206696,408.4899012,6
F4_CEC2014,HHO,12017.89733,1.82e-12,13
F4_CEC2014,MFO,785.0266196,513.3412844,5
F4_CEC2014,PSO,580.5704991,261.8003491,3
F4_CEC2014,SMA,7728.216393,4942.00271,12
F4_CEC2014,WOA,12017.89733,1.82e-12,13
F5_CEC2014,FSRO_Original,520.4297117,0.080981953,8
F5_CEC2014,FSRO_Modified,519.7340505,2.808661204,1
F5_CEC2014,FSRO_Variant1,520.4031625,0.069920056,7
F5_CEC2014,FSRO_Variant2,520.3757931,0.073042551,5
F5_CEC2014,FSRO_Variant3,520.3229076,0.167598911,4
F5_CEC2014,FSRO_Variant4,520.5650513,0.129152482,9
F5_CEC2014,FSRO_Variant5,521.1908153,0.170524536,10
F5_CEC2014,DE,520.2009964,1.193946288,3
F5_CEC2014,GWO,521.2691816,0.262636979,11
